Nom,URL,Prix (€),Étoiles,Nombre d'Avis
"MSI Carte mère de jeu MPG B550 Gaming Plus (ATX), AMD AM4, DDR4 M.2, USB 3.2 Gen 2, HDMI ATX, carte mère de jeu, processeurs AMD Ryzen™ 5000",https://www.amazon.fr/MSI-B550-Gaming-Plus-911-7C56-001/dp/B08B4V6H3N,"107,32",4.6,12749
"MSI B650 GAMING PLUS WIFI Carte mère, ATX - Pour processeurs AMD Ryzen 9000, 8000 & 7000, AM5 - VRM double rail 14+2 phases, DDR5 6400+MHz/OC, 2 x PCIe 4.0 x16, 2 x M.2 Gen4, Wi-Fi 6E",https://www.amazon.fr/MSI-B650-Gaming-Plus-WiFi/dp/B0C3R2TXHJ,"150,35",4.3,3400
"QTHREE GT 730 4G D3 Carte Graphique, 2X HDMI, 1x DVI, 1x VGA, Carte Video PC, GPU, pour Plusieurs moniteurs, for Win 7, 8, 10, 11, DirectX 11, 12",https://www.amazon.fr/QTHREE-GT-730-Graphique-Plusieurs/dp/B0CGV2XRPJ,"79,99",4.2,44
"MSI B850 Gaming Plus WiFi Carte mère ATX - pour processeurs AMD Ryzen 9000/8000 / 7000, AM5 - DDR5 Memory Boost (8200+ MT/s OC), PCIe 5.0 x16 & 4.0 x16, M.2 Gen5, Wi-FI 7, 5G LAN",https://www.amazon.fr/MSI-B850-Gaming-Plus-Carte/dp/B0DPKV94MX,"184,07",4.6,129
"SAPLOS Radeon RX 580 Carte Graphique, 8 Go GDDR5, 256-bit, HDMI DVI DisplayPort, PCI Express x16, Nécessite Une Alimentation à 6 Broches, Blanc",https://www.amazon.fr/SAPLOS-Graphique-DisplayPort-N%C3%A9cessite-Alimentation/dp/B0DSVL4Z91,"129,16",1.0,1
"ASRock Radeon RX 7600 Phantom Gaming 8GO, 8192 MB GDDR6",https://www.amazon.fr/ASROCK-Radeon-Phantom-Gaming-8GO/dp/B0C626YZW5,"299,94",4.0,17
"Gigabyte GeForce RTX 5070 Gaming OC 12G Carte Graphique - 12 Go GDDR7, 192 Bits, PCI-E 5.0, 2625 MHz Core Clock, 3 x DP 2.1a, 1 x HDMI 2.1b, NVIDIA DLSS 4, GV-N5070GAMING OC-12GD",https://www.amazon.fr/Gigabyte-GeForce-Gaming-Carte-Graphique/dp/B0DTGNTQ3C,"691,62",1.0,1
Gigabyte AORUS Xtreme GV-N307TVISION OC-8GD Carte Graphique NVIDIA GeForce RTX 3070 Ti 8 Go GDDR6X Gris,https://www.amazon.fr/Gigabyte-GV-N307TVISION-OC-8GD-Graphique-GeForce/dp/B095X7XXQK,"708,71",4.3,163
"Cooler Master Kit Support GPU Vertical V3, pour Boîtiers PC E-ATX/ATX/mATX & Appareils PCI-E 4.0, Support Modulaire Ajustable pour Carte Graphique, Acier SGCC Épais, Riser Cable 165mm Inclus - Noir",https://www.amazon.fr/Cooler-Master-Vertical-Graphics-%C3%A9l%C3%A9vateur/dp/B0B7NY5TSY,"58,29",4.3,1242
GIGABYTE gddr4 Graphics Card PCIe NVD GV-N1030D4-2GL (GV-N1030D4-2GL),https://www.amazon.fr/Gigabyte-Graphics-Card-PCIe-GV-N1030D4-2GL/dp/B07CQ6Q52H,"89,95",4.5,208
"PNY Quadro P400 Carte graphique professionnelle DVI 2GB GDDR5 PCI Express 3.0 x16, simple slot, 3x Mini-Port display, 5K Support, Ventilateur actif ultra-silencieux",https://www.amazon.fr/PNY-graphique-professionnelle-Ventilateur-ultra-silencieux/dp/B084GZQJXZ,"175,00",4.2,56
"MSI MAG Z690 TORPEDO Carte Mère Gaming, ATX - Pour Processeurs Intel Core 12è Gén, LGA 1700 - 16 Duet Rail VRM 70A, DDR5 Memory Boost 6400+MHz/OC, 1 x PCIe 5.0 x16, 3 x M.2 Gen4, 2.5G LAN",https://www.amazon.fr/MSI-Z690-TORPEDO-Carte-Gaming/dp/B09HK9Q3KD,"234,99",4.4,2317
"SAPLOS Low Profile GT 210 Carte Graphique pour PC, Carte vidéo 1 Go, DDR3 64 Bits, HDMI DVI VGA",https://www.amazon.fr/SAPLOS-Profile-GT210-Carte-Graphique/dp/B0C7M75HRX,"41,66",4.4,10
"Zotac GeForce GT 710 2Go GDDR3 1xHDMI, GT 710 Fan Sink",https://www.amazon.fr/Zotac-GT-710-Fan-Sink/dp/B088X1NTB4,"56,18",4.1,219
Sapphire Pulse AMD Radeon™ RX 6500 XT ITX Pure Gaming OC 4GB GDDR6 HDMI/DP,https://www.amazon.fr/Sapphire-Pulse-RadeonTM-Gaming-GDDR6/dp/B0CDTV5PWS,"145,33",4.4,6
